application_date,branch_id,client_id,age,monthly_income,requested_amount,loan_term_months,existing_debt,employment_type,months_in_job,prior_late_payments,payment_history_score,debt_to_income,manual_review,approved,days_past_due_6m,default_30d,collection_calls_6m,restructured_after_default,legal_collection_status,p_mora_sin_intervencion
2024-01-02,Baní,C113022,34,19600.0,132000.0,18,62500.0,formal,33.0,1,61.0,0.266,1,1,0.0,0.0,0.0,0.0,ninguna,0.1313
2024-01-02,Santo Domingo,C117070,36,57100.0,271000.0,12,230700.0,independiente,8.0,0,57.0,0.337,1,1,0.0,0.0,0.0,0.0,ninguna,0.2692
2024-01-02,Azua,C113278,54,69900.0,208000.0,12,626500.0,formal,7.0,0,77.0,0.747,1,1,0.0,0.0,0.0,0.0,ninguna,0.0743
2024-01-02,Baní,C105774,70,72500.0,266000.0,18,375200.0,independiente,161.0,0,,0.431,1,1,0.0,0.0,0.0,0.0,ninguna,0.0522
2024-01-02,Santo Domingo,C105954,40,46900.0,182000.0,18,170800.0,informal,,0,,0.303,1,1,0.0,0.0,0.0,0.0,ninguna,0.1538
2024-01-02,San Cristóbal,C100607,47,57400.0,121000.0,24,340900.0,formal,5.0,2,64.0,0.495,1,0,,,,,,0.2356
2024-01-02,Santo Domingo,C103628,55,41500.0,162000.0,6,76300.0,informal,,1,62.0,0.153,1,1,0.0,0.0,1.0,0.0,ninguna,0.1668
2024-01-02,San Cristóbal,C101787,24,36900.0,156000.0,24,225600.0,informal,,0,85.0,0.509,1,1,0.0,0.0,0.0,0.0,ninguna,0.0949
2024-01-02,Azua,C110662,53,25400.0,144000.0,6,120700.0,formal,65.0,2,53.0,0.396,1,1,0.0,0.0,1.0,0.0,ninguna,0.2406
2024-01-02,Santo Domingo,C104061,54,25000.0,114000.0,18,6000.0,formal,20.0,1,,0.02,1,1,48.0,1.0,8.0,0.0,ninguna,0.1543
2024-01-02,Baní,C116485,36,42100.0,439000.0,12,290100.0,formal,32.0,0,79.0,0.574,1,1,0.0,0.0,0.0,0.0,ninguna,0.0402
2024-01-02,Baní,C116694,28,27900.0,64000.0,24,36000.0,independiente,20.0,0,46.0,0.108,1,1,0.0,0.0,0.0,0.0,ninguna,0.2598
2024-01-02,Santo Domingo,C314593,29,168000.0,1094000.0,36,1106300.0,formal,126.0,0,,0.549,1,1,0.0,0.0,0.0,0.0,ninguna,0.0694
2024-01-02,Baní,C109846,56,35400.0,282000.0,36,116400.0,independiente,86.0,1,67.0,0.274,1,1,0.0,0.0,0.0,0.0,ninguna,0.053
2024-01-02,Santo Domingo,C109096,39,26900.0,89000.0,12,122700.0,formal,192.0,2,35.0,0.38,1,1,0.0,0.0,0.0,0.0,ninguna,0.2534
2024-01-02,Santo Domingo,C302451,38,23000.0,149000.0,24,108300.0,formal,14.0,2,,0.392,1,1,0.0,0.0,0.0,0.0,ninguna,0.4227
2024-01-02,Azua,C115291,38,62300.0,68000.0,24,186000.0,formal,13.0,1,54.0,0.249,1,1,0.0,0.0,0.0,0.0,ninguna,0.3311
2024-01-02,Azua,C114648,50,51700.0,113000.0,36,198000.0,independiente,150.0,0,54.0,0.319,1,1,18.0,0.0,1.0,0.0,ninguna,0.0675
2024-01-02,San Cristóbal,C109154,47,66300.0,350000.0,24,230800.0,informal,,0,,0.29,1,0,,,,,,0.2967
2024-01-03,San Cristóbal,C102837,45,46400.0,540000.0,18,343700.0,formal,16.0,1,62.0,0.617,1,1,0.0,0.0,0.0,0.0,ninguna,0.3052
2024-01-03,Azua,C103102,51,17700.0,57000.0,6,109400.0,pensionado,93.0,1,,0.515,1,1,0.0,0.0,0.0,0.0,ninguna,0.0617
2024-01-03,Azua,C106690,39,26700.0,140000.0,36,39200.0,informal,,1,62.0,0.122,1,1,0.0,0.0,0.0,0.0,ninguna,0.1443
2024-01-03,San Cristóbal,C116306,30,27400.0,94000.0,12,158600.0,formal,44.0,1,57.0,0.482,1,1,0.0,0.0,0.0,0.0,ninguna,0.2645
2024-01-03,Santo Domingo,C106405,51,59200.0,135000.0,12,143800.0,pensionado,172.0,2,70.0,0.202,1,1,0.0,0.0,1.0,0.0,ninguna,0.0313
2024-01-03,Santo Domingo,C118775,66,26300.0,67000.0,18,6300.0,formal,25.0,0,,0.02,1,1,0.0,0.0,0.0,0.0,ninguna,0.0576
2024-01-03,San Cristóbal,C113496,48,54300.0,112000.0,24,128800.0,informal,,0,54.0,0.198,1,1,0.0,0.0,0.0,0.0,ninguna,0.2282
2024-01-03,Baní,C107594,42,46500.0,67000.0,24,254800.0,formal,140.0,0,,0.457,1,1,0.0,0.0,0.0,0.0,ninguna,0.0759
2024-01-03,Baní,C110992,25,53300.0,155000.0,24,97800.0,formal,36.0,0,,0.153,1,1,2.0,0.0,4.0,0.0,ninguna,0.05
2024-01-03,San Cristóbal,C106484,49,46100.0,174000.0,24,17800.0,formal,11.0,0,71.0,0.032,1,1,0.0,0.0,0.0,0.0,ninguna,0.0565
2024-01-03,Santo Domingo,C111228,47,39000.0,109000.0,24,145900.0,formal,42.0,0,,0.312,1,1,0.0,0.0,0.0,0.0,ninguna,0.0147
2024-01-03,Santo Domingo,C108220,28,44200.0,188000.0,24,110700.0,pensionado,53.0,0,89.0,0.209,1,0,,,,,,0.0136
2024-01-03,Santo Domingo,C113801,42,62600.0,506000.0,36,236000.0,pensionado,265.0,1,,0.314,1,1,0.0,0.0,0.0,0.0,ninguna,0.079
2024-01-03,Santo Domingo,C119346,49,34400.0,97000.0,24,60600.0,formal,15.0,0,67.0,0.147,1,1,0.0,0.0,0.0,0.0,ninguna,0.0999
2024-01-03,Azua,C118904,41,52100.0,135000.0,24,380300.0,informal,,2,54.0,0.608,1,0,,,,,,0.6477
2024-01-03,Santo Domingo,C103396,32,47300.0,176000.0,48,11400.0,formal,15.0,0,90.0,0.02,1,1,0.0,0.0,0.0,0.0,ninguna,0.0166
2024-01-03,Baní,C102213,62,65000.0,213000.0,6,220700.0,formal,96.0,1,,0.283,1,1,0.0,0.0,0.0,0.0,ninguna,0.0388
2024-01-03,Santo Domingo,C318462,22,42100.0,206000.0,6,144600.0,informal,,0,76.0,0.286,1,1,0.0,0.0,0.0,0.0,ninguna,0.1156
2024-01-03,Santo Domingo,C104414,40,43300.0,126000.0,18,182000.0,informal,,0,65.0,0.35,1,1,0.0,0.0,0.0,0.0,ninguna,0.2909
2024-01-03,San Cristóbal,C308565,26,24000.0,58000.0,18,74200.0,informal,,2,,0.258,1,1,14.0,0.0,8.0,0.0,ninguna,0.377
2024-01-03,San Cristóbal,C310922,41,16000.0,116000.0,12,95800.0,independiente,8.0,0,,0.499,1,1,10.0,0.0,1.0,0.0,ninguna,0.1201
2024-01-03,Santo Domingo,C101157,58,58100.0,136000.0,36,106100.0,pensionado,103.0,3,66.0,0.152,1,0,,,,,,0.0466
2024-01-03,Santo Domingo,C115228,61,23400.0,265000.0,12,99700.0,independiente,8.0,0,78.0,0.355,1,1,0.0,0.0,0.0,0.0,ninguna,0.0473
2024-01-03,Baní,C101159,26,54400.0,112000.0,48,184700.0,pensionado,63.0,2,46.0,0.283,1,1,29.0,0.0,1.0,0.0,ninguna,0.1285
2024-01-03,Santo Domingo,C101762,35,41300.0,135000.0,24,199800.0,informal,,0,77.0,0.403,1,1,0.0,0.0,2.0,0.0,ninguna,0.0902
2024-01-03,Santo Domingo,C319617,29,45000.0,93000.0,24,125300.0,formal,38.0,1,59.0,0.232,1,1,42.0,1.0,2.0,1.0,judicial,0.0987
2024-01-03,Santo Domingo,C103682,44,25100.0,233000.0,24,92800.0,formal,8.0,4,40.0,0.308,1,1,0.0,0.0,0.0,0.0,ninguna,0.3966
2024-01-04,Azua,C319340,30,18100.0,40000.0,12,30700.0,formal,37.0,0,68.0,0.141,1,1,0.0,0.0,0.0,0.0,ninguna,0.0435
2024-01-04,San Cristóbal,C101794,22,13000.0,81000.0,18,27400.0,informal,,1,64.0,0.176,1,1,69.0,1.0,11.0,0.0,prejudicial,0.1781
2024-01-04,San Cristóbal,C307527,31,32900.0,135000.0,36,266500.0,formal,10.0,0,70.0,0.675,1,1,0.0,0.0,1.0,0.0,ninguna,0.1881
2024-01-04,San Cristóbal,C313545,39,34300.0,143000.0,12,152100.0,formal,15.0,0,81.0,0.37,1,1,0.0,0.0,0.0,0.0,ninguna,0.0315
2024-01-04,Azua,C111126,33,31700.0,175000.0,12,127400.0,informal,,0,64.0,0.335,1,1,0.0,0.0,0.0,0.0,ninguna,0.1275
2024-01-04,Santo Domingo,C114628,22,46500.0,292000.0,12,232500.0,independiente,94.0,0,75.0,0.417,1,1,0.0,0.0,1.0,0.0,ninguna,0.0214
2024-01-04,Santo Domingo,C318448,25,23800.0,119000.0,18,35400.0,formal,3.0,2,57.0,0.124,1,1,0.0,0.0,0.0,0.0,ninguna,0.1564
2024-01-04,Azua,C102866,48,40000.0,200000.0,24,228600.0,formal,167.0,0,83.0,0.476,1,1,7.0,0.0,1.0,0.0,ninguna,0.0256
2024-01-04,Santo Domingo,C108011,23,33900.0,191000.0,12,289700.0,informal,,1,63.0,0.712,1,1,3.0,0.0,1.0,0.0,ninguna,0.4862
2024-01-04,San Cristóbal,C107898,40,28300.0,83000.0,18,231000.0,formal,27.0,2,63.0,0.68,1,1,0.0,0.0,0.0,0.0,ninguna,0.2696
2024-01-04,San Cristóbal,C117638,39,84800.0,239000.0,24,405500.0,pensionado,130.0,1,47.0,0.398,1,1,0.0,0.0,0.0,0.0,ninguna,0.0886
2024-01-04,Azua,C114537,50,48700.0,106000.0,24,119700.0,informal,,1,75.0,0.205,1,1,0.0,0.0,0.0,0.0,ninguna,0.1823
2024-01-04,San Cristóbal,C110097,38,47600.0,405000.0,12,11400.0,formal,13.0,0,77.0,0.02,1,1,0.0,0.0,0.0,0.0,ninguna,0.0317
2024-01-04,Santo Domingo,C117280,67,24700.0,98000.0,12,126700.0,informal,,0,77.0,0.427,1,1,1.0,0.0,2.0,0.0,ninguna,0.0791
2024-01-04,San Cristóbal,C107504,45,44600.0,262000.0,12,143800.0,informal,,1,,0.269,1,1,1.0,0.0,1.0,0.0,ninguna,0.1706
2024-01-04,Santo Domingo,C110712,53,86400.0,371000.0,36,719400.0,independiente,3.0,1,75.0,0.694,1,0,,,,,,0.0817
2024-01-04,San Cristóbal,C116179,49,50400.0,247000.0,12,171700.0,formal,8.0,0,,0.284,1,1,105.0,1.0,4.0,0.0,judicial,0.2337
2024-01-05,Santo Domingo,C304282,37,23900.0,102000.0,6,55500.0,informal,,0,67.0,0.194,1,1,0.0,0.0,0.0,0.0,ninguna,0.1344
2024-01-05,Santo Domingo,C313352,28,26800.0,100000.0,24,132500.0,informal,,1,56.0,0.412,1,1,23.0,0.0,2.0,0.0,ninguna,0.4822
2024-01-05,San Cristóbal,C112235,37,77700.0,150000.0,24,278700.0,formal,,1,62.0,0.299,1,1,29.0,0.0,3.0,0.0,ninguna,0.2029
2024-01-05,Azua,C104810,43,30700.0,289000.0,48,88700.0,independiente,10.0,0,71.0,0.241,1,1,45.0,1.0,13.0,1.0,judicial,0.0689
2024-01-05,Baní,C111223,22,119000.0,287000.0,12,184200.0,informal,,0,66.0,0.129,1,1,33.0,1.0,6.0,1.0,prejudicial,0.1854
2024-01-05,Santo Domingo,C311641,35,42500.0,181000.0,18,216700.0,independiente,,2,,0.425,1,1,0.0,0.0,1.0,0.0,ninguna,0.3859
2024-01-05,Baní,C117313,57,41800.0,56000.0,12,273600.0,independiente,1.0,1,,0.545,1,1,0.0,0.0,0.0,0.0,ninguna,0.1359
2024-01-05,Santo Domingo,C314449,21,32800.0,312000.0,6,114100.0,formal,20.0,0,66.0,0.29,1,1,0.0,0.0,1.0,0.0,ninguna,0.118
2024-01-05,San Cristóbal,C100289,41,36600.0,135000.0,24,102300.0,independiente,123.0,1,71.0,0.233,1,0,,,,,,0.0241
2024-01-05,San Cristóbal,C115109,55,32200.0,40000.0,6,109800.0,formal,5.0,0,60.0,0.284,1,1,0.0,0.0,0.0,0.0,ninguna,0.0934
2024-01-05,San Cristóbal,C113427,39,25100.0,104000.0,36,6000.0,informal,,1,,0.02,1,1,0.0,0.0,0.0,0.0,ninguna,0.2608
2024-01-05,Baní,C113103,42,33000.0,39000.0,12,175800.0,independiente,34.0,2,,0.444,1,1,3.0,0.0,2.0,0.0,ninguna,0.2787
2024-01-05,San Cristóbal,C106494,43,44100.0,175000.0,18,178700.0,pensionado,21.0,1,,0.338,1,1,0.0,0.0,0.0,0.0,ninguna,0.126
2024-01-05,Santo Domingo,C112060,48,33100.0,226000.0,36,57000.0,informal,,2,62.0,0.144,1,1,0.0,0.0,0.0,0.0,ninguna,0.3618
2024-01-05,Santo Domingo,C119411,47,51200.0,161000.0,12,85300.0,formal,4.0,1,66.0,0.139,1,1,30.0,0.0,1.0,0.0,ninguna,0.1484
2024-01-05,Azua,C116173,32,44700.0,156000.0,24,200800.0,formal,2.0,1,63.0,0.374,1,1,0.0,0.0,0.0,0.0,ninguna,0.1516
2024-01-05,Baní,C108158,42,54300.0,378000.0,24,185600.0,formal,92.0,0,81.0,0.285,1,1,0.0,0.0,0.0,0.0,ninguna,0.0194
2024-01-05,Santo Domingo,C105205,39,40800.0,180000.0,48,21800.0,independiente,35.0,2,65.0,0.045,1,1,9.0,0.0,4.0,0.0,ninguna,0.1567
2024-01-05,Santo Domingo,C118137,39,98600.0,374000.0,6,564800.0,pensionado,8.0,0,63.0,0.477,1,1,0.0,0.0,0.0,0.0,ninguna,0.1247
2024-01-05,San Cristóbal,C104719,44,21700.0,124000.0,36,52500.0,formal,6.0,1,75.0,0.202,1,1,19.0,0.0,1.0,0.0,ninguna,0.1065
2024-01-05,Santo Domingo,C106604,50,64600.0,451000.0,24,232100.0,informal,,0,57.0,0.299,1,1,0.0,0.0,0.0,0.0,ninguna,0.1785
2024-01-05,Azua,C119546,38,25800.0,61000.0,36,190700.0,formal,20.0,1,49.0,0.616,1,0,,,,,,0.5796
2024-01-05,Azua,C115065,55,39700.0,175000.0,18,142700.0,informal,,0,54.0,0.3,1,1,28.0,0.0,3.0,0.0,ninguna,0.2037
2024-01-05,Santo Domingo,C107724,38,60800.0,188000.0,24,145000.0,informal,,3,41.0,0.199,1,0,,,,,,0.5804
2024-01-05,San Cristóbal,C100153,37,74200.0,364000.0,24,409300.0,formal,43.0,1,58.0,0.46,1,1,34.0,1.0,8.0,0.0,ninguna,0.1601
2024-01-05,Santo Domingo,C114467,61,36300.0,97000.0,6,271500.0,formal,22.0,0,68.0,0.623,1,1,15.0,0.0,1.0,0.0,ninguna,0.0776
2024-01-05,San Cristóbal,C113011,45,23800.0,76000.0,18,96000.0,formal,40.0,0,,0.336,1,1,21.0,0.0,0.0,0.0,ninguna,0.1179
2024-01-08,Santo Domingo,C109995,60,41600.0,235000.0,24,263400.0,informal,,0,81.0,0.528,1,1,0.0,0.0,0.0,0.0,ninguna,0.0534
2024-01-08,Azua,C110410,36,33800.0,167000.0,24,115800.0,independiente,14.0,0,64.0,0.286,1,1,1.0,0.0,2.0,0.0,ninguna,0.1989
2024-01-08,Azua,C113818,46,47600.0,90000.0,36,293100.0,formal,2.0,0,62.0,0.513,1,1,0.0,0.0,0.0,0.0,ninguna,0.193
2024-01-08,Santo Domingo,C103410,22,85600.0,394000.0,18,530600.0,independiente,32.0,1,,0.517,1,1,0.0,0.0,0.0,0.0,ninguna,0.2168
2024-01-08,Santo Domingo,C110715,44,55400.0,246000.0,18,199400.0,independiente,117.0,1,60.0,0.3,1,1,0.0,0.0,0.0,0.0,ninguna,0.0506
2024-01-08,San Cristóbal,C112977,38,25400.0,91000.0,12,100200.0,pensionado,63.0,0,69.0,0.329,1,1,0.0,0.0,0.0,0.0,ninguna,0.0517
2024-01-08,Santo Domingo,C119056,49,35700.0,221000.0,48,102800.0,formal,76.0,1,64.0,0.24,1,1,0.0,0.0,0.0,0.0,ninguna,0.042
2024-01-08,Baní,C103634,40,45500.0,65000.0,36,249400.0,pensionado,167.0,0,54.0,0.457,1,1,0.0,0.0,0.0,0.0,ninguna,0.0534
2024-01-08,Azua,C102382,25,61700.0,234000.0,12,431000.0,formal,65.0,1,53.0,0.582,1,1,41.0,1.0,2.0,1.0,prejudicial,0.3159
2024-01-08,Azua,C105552,48,62200.0,190000.0,48,374800.0,pensionado,278.0,0,68.0,0.502,1,1,18.0,0.0,1.0,0.0,ninguna,0.0264
2024-01-08,San Cristóbal,C103583,41,28800.0,95000.0,24,80000.0,formal,43.0,1,,0.231,1,1,0.0,0.0,0.0,0.0,ninguna,0.1441
2024-01-08,Santo Domingo,C103888,39,54400.0,557000.0,24,407600.0,independiente,50.0,1,,0.624,1,1,0.0,0.0,0.0,0.0,ninguna,0.2057
2024-01-08,Baní,C104541,45,69700.0,267000.0,18,164700.0,formal,48.0,1,55.0,0.197,1,1,0.0,0.0,0.0,0.0,ninguna,0.0758
2024-01-08,Santo Domingo,C102350,49,23900.0,107000.0,36,115800.0,formal,109.0,1,66.0,0.404,1,1,0.0,0.0,0.0,0.0,ninguna,0.0509
2024-01-08,Azua,C118988,41,37000.0,207000.0,12,224100.0,formal,100.0,0,,0.505,1,1,0.0,0.0,2.0,0.0,ninguna,0.0709
2024-01-08,Santo Domingo,C113702,57,18200.0,78000.0,48,106000.0,independiente,19.0,1,,0.485,1,1,18.0,0.0,3.0,0.0,ninguna,0.1602
2024-01-08,Azua,C117110,41,55700.0,340000.0,36,276800.0,formal,8.0,1,79.0,0.414,1,1,0.0,0.0,0.0,0.0,ninguna,0.0966
2024-01-08,Santo Domingo,C114004,42,38200.0,228000.0,12,226400.0,formal,2.0,3,60.0,0.494,1,1,35.0,1.0,5.0,0.0,ninguna,0.4271
2024-01-08,Azua,C111086,35,71700.0,273000.0,12,517700.0,independiente,73.0,0,59.0,0.602,1,1,104.0,1.0,9.0,0.0,prejudicial,0.2752
2024-01-08,Baní,C105176,65,24000.0,105000.0,36,92800.0,informal,,0,72.0,0.322,1,1,0.0,0.0,0.0,0.0,ninguna,0.0468
2024-01-08,Azua,C118793,50,18100.0,43000.0,24,49700.0,formal,39.0,1,57.0,0.229,1,1,0.0,0.0,0.0,0.0,ninguna,0.1065
2024-01-08,Baní,C116505,28,36700.0,143000.0,24,209100.0,independiente,10.0,1,,0.475,1,1,0.0,0.0,0.0,0.0,ninguna,0.2603
2024-01-08,San Cristóbal,C113944,28,16600.0,44000.0,18,42500.0,independiente,53.0,1,50.0,0.213,1,1,13.0,0.0,0.0,0.0,ninguna,0.1787
2024-01-08,Baní,C310257,21,31500.0,150000.0,36,128500.0,informal,,2,,0.34,1,0,,,,,,0.6115
2024-01-08,Santo Domingo,C316441,31,15600.0,40000.0,48,55700.0,independiente,3.0,0,,0.298,1,1,0.0,0.0,0.0,0.0,ninguna,0.2014
2024-01-08,Santo Domingo,C318356,28,16800.0,95000.0,18,66100.0,informal,,0,59.0,0.328,1,1,0.0,0.0,1.0,0.0,ninguna,0.3583
2024-01-09,Azua,C103187,34,47000.0,153000.0,24,280500.0,formal,,1,,0.497,1,1,0.0,0.0,1.0,0.0,ninguna,0.3587
2024-01-09,Azua,C100304,41,28600.0,32000.0,12,128000.0,informal,,1,47.0,0.373,1,1,0.0,0.0,0.0,0.0,ninguna,0.4936
2024-01-09,Santo Domingo,C119601,43,27200.0,132000.0,24,90500.0,formal,13.0,0,81.0,0.277,1,1,0.0,0.0,0.0,0.0,ninguna,0.0328
2024-01-09,San Cristóbal,C119516,34,32800.0,120000.0,48,121900.0,formal,13.0,0,69.0,0.31,1,1,0.0,0.0,0.0,0.0,ninguna,0.081
2024-01-09,San Cristóbal,C119994,31,25800.0,104000.0,18,117800.0,independiente,16.0,4,,0.38,1,1,0.0,0.0,0.0,0.0,ninguna,0.2689
2024-01-09,San Cristóbal,C109182,54,44800.0,140000.0,18,136800.0,pensionado,158.0,1,72.0,0.254,1,1,0.0,0.0,0.0,0.0,ninguna,0.017
2024-01-09,Baní,C106908,43,45000.0,395000.0,48,198300.0,pensionado,72.0,1,41.0,0.367,1,1,0.0,0.0,0.0,0.0,ninguna,0.3547
2024-01-09,Santo Domingo,C304575,25,41600.0,90000.0,12,163300.0,independiente,17.0,1,58.0,0.327,1,1,0.0,0.0,0.0,0.0,ninguna,0.1764
2024-01-09,Santo Domingo,C319205,24,27000.0,114000.0,24,140000.0,formal,31.0,0,,0.432,1,1,0.0,0.0,0.0,0.0,ninguna,0.1585
2024-01-09,Azua,C312857,25,43600.0,251000.0,12,125800.0,formal,3.0,0,,0.24,1,1,14.0,0.0,0.0,0.0,ninguna,0.0549
2024-01-09,Azua,C119602,38,64500.0,404000.0,12,334600.0,independiente,122.0,2,62.0,0.432,1,1,0.0,0.0,0.0,0.0,ninguna,0.1722
2024-01-09,Santo Domingo,C101518,39,77600.0,786000.0,12,393300.0,independiente,66.0,3,,0.422,1,1,0.0,0.0,0.0,0.0,ninguna,0.1962
2024-01-09,Baní,C104740,39,40800.0,44000.0,36,169500.0,formal,90.0,0,72.0,0.346,1,1,0.0,0.0,1.0,0.0,ninguna,0.0216
2024-01-09,San Cristóbal,C107183,45,39100.0,63000.0,24,213800.0,formal,40.0,1,69.0,0.456,1,1,65.0,1.0,7.0,0.0,prejudicial,0.0446
2024-01-09,Santo Domingo,C109374,52,49700.0,238000.0,12,36400.0,independiente,40.0,1,58.0,0.061,1,1,0.0,0.0,0.0,0.0,ninguna,0.0821
2024-01-09,San Cristóbal,C116172,44,20200.0,38000.0,12,13900.0,formal,10.0,0,84.0,0.057,1,1,0.0,0.0,1.0,0.0,ninguna,0.0265
2024-01-09,Santo Domingo,C116181,41,32200.0,155000.0,36,119500.0,formal,,0,62.0,0.309,1,1,2.0,0.0,3.0,0.0,ninguna,0.1216
2024-01-09,Santo Domingo,C110549,28,60100.0,100000.0,36,383000.0,formal,15.0,0,48.0,0.531,1,1,0.0,0.0,1.0,0.0,ninguna,0.198
2024-01-09,San Cristóbal,C113484,56,37600.0,152000.0,12,96900.0,formal,26.0,0,72.0,0.215,1,1,0.0,0.0,0.0,0.0,ninguna,0.0517
2024-01-09,Santo Domingo,C112283,61,77900.0,274000.0,36,551000.0,informal,,0,47.0,0.589,1,1,0.0,0.0,0.0,0.0,ninguna,0.3708
2024-01-09,San Cristóbal,C319329,44,63300.0,140000.0,12,314800.0,informal,,1,,0.414,1,1,0.0,0.0,0.0,0.0,ninguna,0.2128
2024-01-09,San Cristóbal,C117106,41,75600.0,244000.0,24,500000.0,formal,35.0,1,54.0,0.551,1,1,0.0,0.0,0.0,0.0,ninguna,0.1221
2024-01-10,Santo Domingo,C301021,28,33400.0,112000.0,12,240600.0,informal,,1,61.0,0.6,1,1,0.0,0.0,0.0,0.0,ninguna,0.4034
2024-01-10,San Cristóbal,C312920,27,15300.0,139000.0,12,78500.0,formal,101.0,1,,0.428,1,1,0.0,0.0,0.0,0.0,ninguna,0.0782
2024-01-10,Santo Domingo,C107513,44,28200.0,120000.0,48,137500.0,pensionado,22.0,0,67.0,0.406,1,1,7.0,0.0,0.0,0.0,ninguna,0.0708
2024-01-10,Santo Domingo,C117177,48,21200.0,137000.0,24,18400.0,formal,4.0,1,68.0,0.072,1,1,0.0,0.0,0.0,0.0,ninguna,0.0371
2024-01-10,Santo Domingo,C306456,28,37400.0,205000.0,36,69300.0,formal,65.0,0,79.0,0.154,1,1,0.0,0.0,0.0,0.0,ninguna,0.0673
2024-01-10,Santo Domingo,C105622,49,34300.0,62000.0,36,143700.0,formal,24.0,1,,0.349,1,1,0.0,0.0,0.0,0.0,ninguna,0.2179
